field
INDUSTRY_SECTOR
INDUSTRY_GROUP
INDUSTRY_SUBGROUP
GICS_SECTOR_NAME
GICS_INDUSTRY_NAME
GICS_INDUSTRY_GROUP_NAME
ABSOLUTE_CO2_EMISSIONS
ABSOLUTE_NDC_2030_TARGET
CDP_ACT_REDUCE_EM_ENERGY_USE
AIR_POLLUTION_REDUCTION_POL
ALTERNATIVE_FUEL_USE_PCT
ALTERNATIVE_FUEL_USED
ALUMINUM_CERTIFIED_SOURCES
ALUMINUM_RENEWABLE_SOURCES
AMOUNT_SPILLS_ESA
AMT_COAL_COMBUSTION_RESIDUALS
ENVIRON_FINES_AMT
AMOUNT_OF_FOOD_WASTE_GENRTD
AMOUNT_OF_GREEN_SUSTAIN_REV
HYDROCARBON_SPILLS
AMOUNT_PALM_OIL_SOURCED
AMOUNT_OF_SIGNFCNT_ENV_FINES
AMOUNT_SIGNIF_SPILLS
AMOUNT_OF_SPILLS
AMOUNT_SPILLS_RECOVERED
AMT_WASTE_COMPOSTED
AMT_WASTE_INCINERATED
AMOUNT_OF_WASTE_SENT_FOR_REC
ANML_WELFRE_POLICY
ARCTIC_DRILLING_OIL_GAS
AREA_FOREST_PROT_CONSERV_ST
AREA_PPTY_LOC_100_YR_FLD_ZNS
AVG_RECYCLABILITY_RATE_PROD
BASELINE_YR_GHG_EMISSIONS_TGT
BIODIVERSITY_POLICY
BOD_OF_DISCHARGES
BIOMASS_%_ENERGY_CAPACITY
BIOMASS_ENERGY_CAPACITY
BIOMASS_ENERGY_PRODUCTION
BIOMASS_FUEL_USE_PERCENTAGE
BIOMASS_FUEL_USED
BIOMASS_%_ENERGY_PRODUCTION
CDP_%_CHG_IN_ABS_SC_1_&_2_E_IN_T
CDP_%_CHG_IN_ABS_SC_3_EM_INT_TGT
CDP_%_CHG_IN_COMP_SEL_EM_INT
CDP_%_RENEW_CONS_ACH_RNW_CON_TGT
CDP_%_RNW_ENR_DUR_BS_Y_RNW_CON_T
CDP_%_RNW_ENR_DUR_BS_Y_RNW_PRO_T
CDP_%_RNW_ENR_DUR_T_YR_RNW_CON_T
CDP_%_RNW_ENR_DUR_T_YR_RNW_PRO_T
CDP_%_RENEW_PROD_ACH_RNW_PRO_TGT
CDP_%_TM_CMP_RENEW_CONSUMPT_TGT
CDP_%_TM_CMP_RENEW_PROD_TARGET
CDP_3RD_PTY_AVD_EM_FR_G_&_S
